country,life_expectancy,alcohol,hepatitisB,measles,bmi,polio,diphtheria,hiv,total_expenditure,gdp,thinness_till19
Afghanistan,58.193749999999994,0.014375000000000002,64.5625,2362.25,15.518749999999999,48.375,52.3125,0.10000000000000002,8.2525,340.01542546875004,16.58125
Albania,75.15624999999999,4.84875,98.0,53.375,49.06875,98.125,98.0625,0.10000000000000002,5.945625,2119.7266788750003,1.6187500000000001
Algeria,73.61874999999999,0.4066666666666668,78.0,1943.875,48.74375,91.75,91.875,0.10000000000000002,4.604,2847.8533923125,6.09375
Angola,49.01875,5.740666666666666,70.22222222222223,3561.3125,18.01875,46.125,47.6875,2.36875,3.9193333333333342,1975.1430451187498,6.1937500000000005
Antigua and Barbuda,75.05624999999999,7.949333333333333,98.26666666666667,0.0,38.425000000000004,96.9375,98.3125,0.12500000000000006,4.791333333333333,9759.305728124998,3.4250000000000003
Argentina,75.15624999999999,7.966666666666667,81.28571428571429,2.0,54.98125,93.375,92.375,0.10000000000000002,6.9126666666666665,6998.575103125,1.0749999999999997
Armenia,73.39999999999999,3.7026666666666666,87.5625,274.25,44.70625,89.125,87.375,0.10000000000000002,4.8613333333333335,1999.9863176500003,2.0375
Australia,81.81250000000001,10.155333333333333,93.4,103.9375,55.8625,86.75,86.875,0.10000000000000002,8.836666666666668,34637.565046874995,0.66875
Austria,81.48124999999999,12.235999999999999,81.0625,77.25,48.287500000000016,86.0,86.75,0.10000000000000002,4.715333333333334,33827.47630875,1.7312499999999995
Azerbaijan,70.73124999999999,0.9919999999999999,59.214285714285715,598.1875,43.84375000000001,75.8125,82.3125,0.10000000000000002,5.679333333333334,3302.9478069937504,2.9000000000000004
Bahamas,74.28750000000001,10.271333333333331,83.6,0.0,52.88125,95.0,95.75,0.11875000000000004,6.706,,2.5500000000000007
Bahrain,75.72500000000001,1.9346666666666663,98.125,6.6875,51.65625000000001,98.0,98.0625,0.10000000000000002,3.807333333333333,11191.247420625003,6.10625
Bangladesh,69.3,0.01,77.61538461538461,4649.9375,12.875,87.5,92.75,0.10000000000000002,2.8546666666666662,443.5614810250001,13.775
Barbados,74.35625,8.206666666666669,84.06666666666666,0.0,45.974999999999994,80.3125,89.9375,0.25625000000000003,6.122,12017.098529375,3.9562500000000003
Belarus,69.90625,13.497333333333332,88.9375,24.8125,54.74375,89.875,92.1875,0.10000000000000002,6.192000000000001,3811.5253479999997,2.2125
Belgium,80.68124999999999,11.042666666666666,74.5,81.5625,50.89375,97.75,97.3125,0.10000000000000002,5.962000000000001,16915.305999999997,0.8625000000000004
Belize,69.26875,6.252666666666668,94.75,0.0,37.67499999999999,95.5,95.1875,0.43125,5.039333333333333,3933.0121744999997,3.5562500000000004
Benin,57.568749999999994,1.0,62.57142857142857,1116.875,19.612499999999997,67.6875,67.9375,1.7062500000000005,4.636,561.167968,8.25
Bhutan,66.1625,0.2786666666666667,94.125,80.25,17.581249999999997,89.375,93.875,0.3562499999999999,5.346,1353.98694560625,17.21875
Bolivia (Plurinational State of),67.70625,3.212,82.875,7.625,44.81875,81.6875,87.375,0.15625,5.626,,1.3
Bosnia and Herzegovina,75.96875000000001,4.405333333333333,71.66666666666667,319.1875,48.9625,78.3125,78.5,0.10000000000000002,8.741999999999999,2245.0260235624996,2.78125
Botswana,56.05,4.67,87.3125,237.875,32.24375,96.1875,95.8125,16.525000000000002,5.510666666666666,4498.285431187499,7.4375
Brazil,73.38125,7.213333333333333,96.1875,95.375,47.0625,98.3125,97.9375,0.10000000000000002,8.019333333333332,6143.161793500001,3.05
Brunei Darussalam,76.48750000000001,0.3786666666666667,97.875,7.3125,29.71875,97.5,96.8125,0.10000000000000002,2.8200000000000003,19744.808101874998,6.199999999999999
Bulgaria,72.85,10.865333333333332,94.5,1530.3125,54.50000000000001,94.25,94.0,0.10000000000000002,7.236,4938.981821375001,2.1312499999999996
Burkina Faso,55.64374999999999,4.241333333333333,81.1,5091.75,15.499999999999998,69.0,77.3125,1.8375,6.037999999999999,410.3720343125,7.41875
Burundi,55.537499999999994,4.103333333333334,93.33333333333333,1349.5,15.312500000000002,86.625,85.75,3.0875000000000004,7.089333333333333,137.81532131875,8.01875
Cabo Verde,72.51875,3.448,80.64285714285714,0.125,24.375,84.375,79.0,0.53125,4.755333333333334,2023.54103925,8.012500000000001
Cambodia,64.34375,1.4860000000000002,79.6,1880.8125,15.362500000000004,74.1875,72.0625,1.0250000000000001,5.740666666666668,466.19687804999995,10.143749999999999
Cameroon,54.01875,4.141333333333334,76.81818181818181,2979.25,23.618750000000002,72.5,69.4375,6.212500000000001,4.719333333333334,781.0160044124999,6.550000000000001
Canada,81.6875,8.053333333333333,28.846153846153847,129.5,55.86249999999999,85.3125,91.0625,0.10000000000000002,7.052000000000001,29382.907523125003,0.50625
Central African Republic,48.51250000000001,1.2313333333333334,42.57142857142857,699.4375,17.0875,41.3125,42.4375,8.981250000000001,4.039333333333334,363.05590484999993,7.106250000000001
Chad,50.3875,0.41133333333333333,29.875,4687.75,16.318749999999998,32.875,26.8125,4.3375,4.379333333333333,484.7916940562499,7.14375
Chile,79.44999999999999,6.978,77.2,1.0625,55.5875,83.625,88.8125,0.10000000000000002,6.911333333333334,6202.344363562499,0.8875000000000001
China,74.2625,4.182000000000001,80.4375,65857.9375,21.80625,93.6875,93.3125,0.10000000000000002,4.918,2345.3031576875,4.6375
Colombia,73.28750000000001,4.419333333333333,79.0,9.5,49.54375,84.25,79.1875,0.10000000000000002,6.34,3321.6607483124994,2.3000000000000003
Comoros,61.581250000000004,0.13466666666666666,76.46153846153847,62.625,18.256249999999998,67.8125,66.9375,0.28124999999999994,4.832,630.38433406875,7.275
Congo,59.04375,2.1733333333333333,50.77777777777778,1021.625,20.925000000000004,52.4375,55.25,4.987499999999999,2.986666666666667,,8.4875
Cook Islands,,0.01,98.0,0.0,82.8,98.0,98.0,0.1,3.58,,0.1
Costa Rica,78.59374999999999,3.924666666666667,79.3125,0.1875,46.72499999999999,69.9375,79.75,0.10000000000000002,8.620000000000001,3957.22728625,1.9625
Croatia,76.11875,12.448000000000002,96.22222222222223,23.6875,52.356249999999996,95.5,95.375,0.10000000000000002,7.370666666666666,9056.7847190625,1.74375
Cuba,77.97500000000001,4.190666666666667,96.25,0.0,49.46249999999999,98.6875,93.9375,0.10000000000000002,6.428666666666667,3180.4348844375,3.4437499999999996
Cyprus,79.675,10.260666666666667,92.625,1.9375,53.16249999999999,98.0,98.0,0.10000000000000002,6.760000000000001,13898.88550125,0.9062500000000002
Czechia,76.76875,13.026000000000002,97.28571428571429,22.9375,55.71249999999999,98.0,98.125,0.10000000000000002,7.05,,1.9937500000000001
C̫te d'Ivoire,50.3875,2.8373333333333335,63.93333333333333,1708.25,21.324999999999996,65.9375,68.9375,4.6875,5.723333333333333,,6.7375
Democratic People's Republic of Korea,69.19375000000001,3.0000000000000004,88.84615384615384,222.5625,25.624999999999996,98.25,83.25,0.10000000000000002,,,5.437500000000001
Democratic Republic of the Congo,55.687499999999986,1.424,51.333333333333336,48922.6875,15.8375,55.625,41.875,1.8187499999999999,3.5586666666666673,,8.14375
Denmark,79.25625000000001,10.707999999999998,,15.75,55.824999999999996,88.0,88.0,0.10000000000000002,7.822666666666667,33067.407915625,1.1624999999999996
Djibouti,60.75625,0.7639999999999999,78.0,113.875,26.25,74.875,75.125,3.28125,7.070666666666667,897.9998706499999,5.84375
Dominica,,0.01,96.0,0.0,58.4,96.0,96.0,0.1,5.58,722.75665,2.7
Dominican Republic,72.34374999999999,6.030666666666666,65.125,23.0,48.14375000000001,75.625,83.1875,1.41875,4.681333333333334,3509.4991863125,3.46875
Ecuador,74.72500000000001,3.8073333333333332,78.0625,20.75,43.3125,78.75,89.1875,0.19374999999999998,5.879999999999999,2005.3524679375,1.3812500000000003
Egypt,71.5,0.18866666666666668,96.6875,1069.25,49.262499999999996,96.6875,96.6875,0.10000000000000002,5.346,,3.125
El Salvador,71.74375,2.6926666666666668,86.0625,0.125,45.324999999999996,82.25,87.1875,0.28750000000000003,7.103333333333334,2517.8346304375,1.80625
Equatorial Guinea,55.3125,7.341999999999999,9.0,294.5,17.85625,36.875,29.9375,5.1375,2.9293333333333327,7902.4107885625,6.65625
Eritrea,60.6875,0.608,86.42857142857143,175.0,15.15625,87.8125,82.25,1.2125,3.468666666666667,259.3953562916667,8.08125
Estonia,74.94375,9.014666666666665,86.83333333333333,3.5,56.68125,94.25,94.125,0.10000000000000002,5.687333333333333,8340.4329494375,2.075
Ethiopia,59.11250000000001,1.0746666666666667,64.11111111111111,3948.375,14.799999999999999,51.125,46.1875,2.7249999999999996,4.901333333333334,264.97094995000003,8.38125
Fiji,68.7125,1.462666666666667,98.875,50.0,50.562500000000014,97.125,91.6875,0.10000000000000002,3.8973333333333335,2947.6126888750005,4.093750000000001
Finland,80.7125,9.552666666666669,,2.8125,52.300000000000004,97.1875,98.25,0.10000000000000002,8.614,25268.649758125,0.9000000000000002
France,82.21875,12.40466666666667,51.25,2661.625,51.98125,98.25,98.0625,0.10000000000000002,6.555999999999999,26465.551380625,0.6249999999999998
Gabon,62.243750000000006,7.8773333333333335,57.63636363636363,349.8125,28.818749999999998,57.25,54.5,8.0,3.1753333333333327,5179.2561886250005,6.91875
Gambia,59.462500000000006,2.1346666666666665,95.375,41.25,20.300000000000004,92.75,88.5,2.34375,5.3086666666666655,,7.5875
Georgia,73.50625,5.623333333333334,77.25,1298.0,47.74375,81.1875,83.5,0.10000000000000002,7.3306666666666676,2158.2808692812496,2.75
Germany,81.175,11.628666666666668,77.4375,1497.1875,51.993750000000006,94.8125,89.875,0.10000000000000002,4.073333333333333,24337.749100000005,1.1187499999999997
Ghana,60.8625,1.2686666666666666,67.5,3419.75,21.724999999999998,78.9375,73.875,2.2875,4.328666666666667,834.3761008125001,7.65
Greece,81.21875,8.803333333333333,88.9375,24.875,58.681250000000006,91.4375,96.625,0.10000000000000002,9.038666666666668,16454.23587,0.8125000000000001
Grenada,73.29375,8.843333333333334,95.46666666666667,0.0,40.212500000000006,95.125,95.625,0.10000000000000002,6.188666666666667,6259.5172613125,3.91875
Guatemala,71.73125,2.268666666666667,87.0909090909091,0.0,40.44375,71.4375,85.5625,0.375,6.593999999999999,2365.83447375,1.3375000000000001
Guinea,56.0125,0.16466666666666666,58.666666666666664,1522.0,17.46875,52.4375,47.875,2.19375,4.009333333333333,279.46479789375,7.64375
Guinea-Bissau,55.36875,2.2600000000000002,75.0,331.3125,19.43125,74.75,65.25,4.818749999999999,5.870666666666668,384.2149305312501,7.500000000000001
Guyana,65.6375,7.406000000000001,88.2,0.0,36.38125,87.75,88.1875,1.0625,6.084,1783.8809370625002,5.681250000000002
Haiti,59.868750000000006,5.486,40.666666666666664,71.9375,39.275,53.8125,48.0,2.7375,6.183333333333334,434.36012815000004,4.24375
Honduras,72.99374999999999,3.0420000000000003,95.0625,0.0,39.74375,95.375,95.625,0.81875,8.147333333333332,1421.7880825000002,2.4000000000000004
Hungary,73.82499999999999,11.427333333333333,,2.0625,56.931250000000006,98.9375,99.0,0.10000000000000002,7.7686666666666655,8513.641831249997,1.9187500000000004
Iceland,82.44375000000001,7.466,,0.0,51.075,89.75,89.75,0.10000000000000002,8.546000000000001,30159.502907500006,0.9562500000000002
India,65.41874999999999,1.942,35.0,46454.1875,14.793750000000001,69.625,67.0625,0.2562499999999999,4.358666666666666,837.9200509125001,27.099999999999998
Indonesia,67.55625,0.0686666666666667,73.5625,16244.9375,19.956249999999997,62.1875,72.375,0.20000000000000007,2.663333333333333,1669.116783075,3.4187499999999997
Iran (Islamic Republic of),73.85624999999999,0.016,97.75,2828.25,48.63125,98.25,98.375,0.10000000000000002,6.290000000000001,,7.768750000000001
Iraq,70.35625,0.13466666666666666,64.875,3454.375,48.59375,55.625,65.75,0.10000000000000002,4.435833333333333,3542.5575372499993,5.3999999999999995
Ireland,80.15,12.654,86.83333333333333,174.5,53.6875,86.125,86.125,0.10000000000000002,7.7286666666666655,33835.272005,0.29999999999999993
Israel,81.3,2.497333333333334,97.4375,138.9375,54.98750000000001,94.25,89.0,0.10000000000000002,7.4786666666666655,18860.476015624998,1.14375
Italy,82.1875,8.266666666666667,95.5,1961.375,56.15,96.125,94.75,0.10000000000000002,8.777333333333333,21234.782370625006,0.5125
Jamaica,74.29375,3.6239999999999997,83.15384615384616,0.1875,45.425000000000004,89.625,89.3125,1.2375,5.144000000000001,2509.5464696249996,1.8812499999999996
Japan,82.5375,7.040666666666667,,6875.8125,25.606249999999996,96.0,96.25,0.10000000000000002,6.472666666666666,24892.544784375,1.8125
Jordan,72.9875,0.5173333333333333,97.0,26.5,52.999999999999986,97.125,97.0,0.10000000000000002,8.781333333333333,1822.6299256249997,3.8874999999999997
Kazakhstan,66.7625,6.641333333333333,97.3125,1246.9375,45.15624999999999,97.5,96.4375,0.10000000000000002,4.019333333333334,4040.586664374999,2.4375
Kenya,57.481249999999996,1.6019999999999999,74.57142857142857,2643.875,15.562500000000002,70.1875,70.5,8.7625,4.668666666666667,716.77006788125,8.4
Kiribati,65.14999999999999,0.4406666666666667,75.1875,0.0,69.43125,75.25,74.9375,0.10000000000000002,5.728,1175.29241553125,0.15625
Kuwait,73.84375000000001,0.021333333333333336,98.1875,15.375,59.60625,98.1875,98.5,0.10000000000000002,2.809333333333333,31914.378339374998,3.2812500000000013
Kyrgyzstan,69.08125,2.267333333333333,85.5625,1156.625,35.112500000000004,95.875,96.5625,0.11250000000000004,6.118666666666667,,3.3562499999999997
Lao People's Democratic Republic,62.38125,3.505333333333334,60.30769230769231,552.75,14.362500000000002,58.8125,61.5,0.20000000000000007,3.444,,6.275
Latvia,73.73125,8.864,88.9375,3.3125,51.306250000000006,95.0625,95.0,0.10000000000000002,6.331333333333334,7951.824896624999,2.4062499999999996
Lebanon,74.2,1.7853333333333339,70.5,295.1875,55.3375,71.25,70.5,0.10000000000000002,6.6706666666666665,4696.1923789375005,4.768750000000002
